time, x, y, aX, aY, DX, DY, Error
0, -4, -1.5, -4, -1.5, 0, 0, 0
0.001, -3.99514, -1.49245, -3.99514, -1.49244, -2.38419e-06, -9.77516e-06, 1.00617e-05
0.002, -3.99029, -1.48491, -3.99028, -1.48489, -4.52995e-06, -1.94311e-05, 1.99522e-05
0.003, -3.98544, -1.4774, -3.98543, -1.47737, -6.91414e-06, -2.89679e-05, 2.97816e-05
0.004, -3.98059, -1.4699, -3.98058, -1.46986, -9.05991e-06, -3.82662e-05, 3.93241e-05
0.005, -3.97575, -1.46242, -3.97574, -1.46237, -1.12057e-05, -4.80413e-05, 4.93309e-05
0.006, -3.97092, -1.45496, -3.9709, -1.45491, -1.35899e-05, -5.74589e-05, 5.90441e-05
0.007, -3.96609, -1.44752, -3.96607, -1.44746, -1.57356e-05, -6.73532e-05, 6.9167e-05
0.008, -3.96126, -1.4401, -3.96124, -1.44003, -1.78814e-05, -7.689e-05, 7.89418e-05
0.009, -3.95644, -1.4327, -3.95642, -1.43262, -2.02656e-05, -8.61883e-05, 8.85388e-05
0.01, -3.95162, -1.42532, -3.9516, -1.42523, -2.26498e-05, -9.63211e-05, 9.89483e-05
0.011, -3.9468, -1.41796, -3.94678, -1.41785, -2.47955e-05, -0.000105619, 0.000108491
0.012, -3.942, -1.41061, -3.94197, -1.4105, -2.69413e-05, -0.000115156, 0.000118266
0.013, -3.93719, -1.40329, -3.93716, -1.40316, -2.90871e-05, -0.000124812, 0.000128157
0.014, -3.93239, -1.39598, -3.93236, -1.39585, -3.14713e-05, -0.000134706, 0.000138334
0.015, -3.92759, -1.3887, -3.92756, -1.38855, -3.3617e-05, -0.000144243, 0.000148109
0.016, -3.9228, -1.38143, -3.92277, -1.38127, -3.57628e-05, -0.00015378, 0.000157884
0.017, -3.91802, -1.37418, -3.91798, -1.37401, -3.8147e-05, -0.000163555, 0.000167945
0.018, -3.91323, -1.36695, -3.91319, -1.36677, -4.05312e-05, -0.00017333, 0.000178006
0.019, -3.90845, -1.35974, -3.90841, -1.35955, -4.26769e-05, -0.000182629, 0.000187549
0.02, -3.90368, -1.35254, -3.90363, -1.35235, -4.50611e-05, -0.000192523, 0.000197726
0.021, -3.89891, -1.34537, -3.89886, -1.34517, -4.72069e-05, -0.000201941, 0.000207385
0.022, -3.89414, -1.33821, -3.89409, -1.338, -4.93526e-05, -0.000211954, 0.000217624
0.023, -3.88938, -1.33107, -3.88933, -1.33085, -5.17368e-05, -0.000221133, 0.000227105
0.024, -3.88463, -1.32396, -3.88457, -1.32372, -5.4121e-05, -0.000231028, 0.000237282
0.025, -3.87987, -1.31686, -3.87982, -1.31662, -5.65052e-05, -0.000240803, 0.000247344
0.026, -3.87513, -1.30977, -3.87507, -1.30953, -5.84126e-05, -0.000249863, 0.0002566
0.027, -3.87038, -1.30271, -3.87032, -1.30245, -6.05583e-05, -0.000259399, 0.000266374
0.028, -3.86564, -1.29567, -3.86558, -1.2954, -6.29425e-05, -0.000269532, 0.000276784
0.029, -3.86091, -1.28864, -3.86084, -1.28836, -6.50883e-05, -0.000278711, 0.000286211
