time, x, y, aX, aY, DX, DY, Error
0, -4, -1.5, -4, -1.5, 0, 0, 0
0.05, -3.76235, -1.14486, -3.76235, -1.14486, 0, 0, 0
0.1, -3.53518, -0.834744, -3.53518, -0.834744, 0, -1.78814e-07, 1.78814e-07
0.15, -3.31783, -0.566738, -3.31783, -0.566738, 0, -1.19209e-07, 1.19209e-07
0.2, -3.10966, -0.33813, -3.10966, -0.33813, 2.38419e-07, -6.55651e-07, 6.97654e-07
0.25, -2.91008, -0.146379, -2.91008, -0.146378, 2.38419e-07, -1.63913e-07, 2.89328e-07
0.3, -2.71853, 0.0108934, -2.71853, 0.0108942, 0, -8.04663e-07, 8.04663e-07
0.35, -2.5345, 0.135909, -2.5345, 0.13591, 2.38419e-07, -7.00355e-07, 7.39824e-07
0.4, -2.3575, 0.23075, -2.3575, 0.23075, 2.38419e-07, -8.49366e-07, 8.82194e-07
0.45, -2.18708, 0.29736, -2.18708, 0.297361, 2.38419e-07, -5.96046e-07, 6.41962e-07
0.5, -2.02282, 0.337562, -2.02282, 0.337562, 2.38419e-07, -1.78814e-07, 2.98023e-07
0.55, -1.86431, 0.353058, -1.86431, 0.353059, 1.19209e-07, -9.53674e-07, 9.61096e-07
0.6, -1.71118, 0.345442, -1.71118, 0.345442, 1.19209e-07, -6.55651e-07, 6.664e-07
0.65, -1.5631, 0.316203, -1.5631, 0.316204, -1.19209e-07, -7.45058e-07, 7.54535e-07
0.7, -1.41973, 0.266738, -1.41973, 0.266738, 2.38419e-07, -7.7486e-07, 8.10711e-07
0.75, -1.28077, 0.198349, -1.28077, 0.19835, 1.19209e-07, -8.34465e-07, 8.42937e-07
0.8, -1.14593, 0.112258, -1.14593, 0.112258, 0, -4.17233e-07, 4.17233e-07
0.85, -1.01495, 0.00960626, -1.01495, 0.00960636, 1.19209e-07, -1.04308e-07, 1.58402e-07
0.9, -0.887583, -0.108538, -0.887583, -0.108538, -5.96046e-08, -4.24683e-07, 4.28845e-07
0.95, -0.763593, -0.241176, -0.763593, -0.241176, 1.19209e-07, 0, 1.19209e-07
1, -0.642762, -0.387373, -0.642762, -0.387373, 0, 0, 0
1.05, -0.524887, -0.546254, -0.524887, -0.546254, 2.98023e-07, 5.96046e-08, 3.03925e-07
1.1, -0.409777, -0.717002, -0.409777, -0.717002, 5.96046e-07, -1.78814e-07, 6.22291e-07
1.15, -0.297253, -0.89885, -0.297254, -0.89885, 4.76837e-07, -6.55651e-07, 8.10711e-07
1.2, -0.18715, -1.09108, -0.187151, -1.09108, 7.7486e-07, -1.43051e-06, 1.62689e-06
1.25, -0.0793109, -1.29303, -0.0793118, -1.29303, 9.53674e-07, -8.34465e-07, 1.26721e-06
1.29904, 0.0243713, -1.5, 0.0243897, -1.49992, -1.8483e-05, -8.36849e-05, 8.57017e-05
