time, x, y, aX, aY, DX, DY, Error
0, -4, -1.5, -4, -1.5, 0, 0, 0
0.001, -3.99514, -1.49245, -3.99514, -1.49244, -2.38419e-06, -9.77516e-06, 1.00617e-05
0.002, -3.99029, -1.48491, -3.99028, -1.48489, -4.52995e-06, -1.93119e-05, 1.98361e-05
0.003, -3.98544, -1.4774, -3.98543, -1.47737, -6.91414e-06, -2.87294e-05, 2.95497e-05
0.004, -3.98059, -1.4699, -3.98058, -1.46986, -9.29832e-06, -3.80278e-05, 3.9148e-05
0.005, -3.97575, -1.46242, -3.97574, -1.46237, -1.16825e-05, -4.78029e-05, 4.92098e-05
0.006, -3.97092, -1.45496, -3.9709, -1.45491, -1.43051e-05, -5.72205e-05, 5.89815e-05
0.007, -3.96609, -1.44752, -3.96607, -1.44746, -1.69277e-05, -6.71148e-05, 6.92167e-05
0.008, -3.96126, -1.4401, -3.96124, -1.44003, -1.95503e-05, -7.66516e-05, 7.91055e-05
0.009, -3.95644, -1.4327, -3.95642, -1.43262, -2.24113e-05, -8.59499e-05, 8.88237e-05
0.01, -3.95162, -1.42532, -3.9516, -1.42523, -2.55108e-05, -9.62019e-05, 9.95269e-05
0.011, -3.94681, -1.41796, -3.94678, -1.41785, -2.83718e-05, -0.0001055, 0.000109249
0.012, -3.942, -1.41061, -3.94197, -1.4105, -3.14713e-05, -0.000115037, 0.000119264
0.013, -3.9372, -1.40329, -3.93716, -1.40316, -3.45707e-05, -0.000124693, 0.000129397
0.014, -3.9324, -1.39598, -3.93236, -1.39585, -3.79086e-05, -0.000134706, 0.000139939
0.015, -3.9276, -1.3887, -3.92756, -1.38855, -4.07696e-05, -0.000144362, 0.000150009
0.016, -3.92281, -1.38143, -3.92277, -1.38127, -4.36306e-05, -0.000154018, 0.000160079
0.017, -3.91802, -1.37418, -3.91798, -1.37401, -4.64916e-05, -0.000163913, 0.000170379
0.018, -3.91324, -1.36695, -3.91319, -1.36677, -4.93526e-05, -0.000173807, 0.000180678
0.019, -3.90846, -1.35974, -3.90841, -1.35955, -5.19753e-05, -0.000183344, 0.000190569
0.02, -3.90369, -1.35254, -3.90363, -1.35235, -5.45979e-05, -0.000193357, 0.000200918
0.021, -3.89892, -1.34537, -3.89886, -1.34517, -5.6982e-05, -0.000202894, 0.000210744
0.022, -3.89415, -1.33821, -3.89409, -1.338, -5.93662e-05, -0.000213027, 0.000221144
0.023, -3.88939, -1.33108, -3.88933, -1.33085, -6.17504e-05, -0.000222445, 0.000230856
0.024, -3.88464, -1.32396, -3.88457, -1.32372, -6.41346e-05, -0.000232577, 0.000241258
0.025, -3.87988, -1.31686, -3.87982, -1.31662, -6.65188e-05, -0.000242591, 0.000251545
0.026, -3.87514, -1.30978, -3.87507, -1.30953, -6.84261e-05, -0.000251889, 0.000261018
0.027, -3.87039, -1.30271, -3.87032, -1.30245, -7.05719e-05, -0.000261664, 0.000271014
0.028, -3.86565, -1.29567, -3.86558, -1.2954, -7.29561e-05, -0.000272036, 0.000281649
0.029, -3.86092, -1.28865, -3.86084, -1.28836, -7.48634e-05, -0.000281572, 0.000291355
