time, x, y, aX, aY, DX, DY, Error
0, -4, -1.5, -4, -1.5, 0, 0, 0
0.05, -3.75686, -1.12134, -3.76235, -1.14486, 0.00548196, 0.0235256, 0.0241559
0.1, -3.52494, -0.790779, -3.53518, -0.834744, 0.0102448, 0.0439655, 0.0451434
0.15, -3.30347, -0.505115, -3.31783, -0.566738, 0.0143595, 0.0616236, 0.0632745
0.2, -3.09177, -0.261354, -3.10966, -0.33813, 0.0178907, 0.076776, 0.0788329
0.25, -2.88918, -0.0567014, -2.91008, -0.146378, 0.0208967, 0.089677, 0.0920795
0.3, -2.6951, 0.111449, -2.71853, 0.0108942, 0.0234313, 0.100555, 0.103249
0.35, -2.50896, 0.245531, -2.5345, 0.13591, 0.0255442, 0.109621, 0.112558
0.4, -2.33023, 0.347816, -2.3575, 0.23075, 0.0272789, 0.117065, 0.120202
0.45, -2.15841, 0.420423, -2.18708, 0.297361, 0.0286763, 0.123062, 0.126359
0.5, -1.99304, 0.465332, -2.02282, 0.337562, 0.0297731, 0.12777, 0.131193
0.55, -1.83371, 0.484388, -1.86431, 0.353059, 0.0306027, 0.131329, 0.134848
0.6, -1.67999, 0.479316, -1.71118, 0.345442, 0.0311955, 0.133874, 0.13746
0.65, -1.53152, 0.451724, -1.5631, 0.316204, 0.0315788, 0.13552, 0.13915
0.7, -1.38795, 0.403112, -1.41973, 0.266738, 0.0317782, 0.136374, 0.140027
0.75, -1.24895, 0.334883, -1.28077, 0.19835, 0.0318153, 0.136533, 0.140191
0.8, -1.11422, 0.248345, -1.14593, 0.112258, 0.0317109, 0.136086, 0.139732
0.85, -0.983467, 0.144717, -1.01495, 0.00960636, 0.0314835, 0.135111, 0.13873
0.9, -0.856434, 0.0251393, -0.887583, -0.108538, 0.0311494, 0.133677, 0.137258
0.95, -0.732869, -0.109325, -0.763593, -0.241176, 0.030724, 0.131851, 0.135384
1, -0.612541, -0.257683, -0.642762, -0.387373, 0.0302202, 0.12969, 0.133165
1.05, -0.495236, -0.419009, -0.524887, -0.546254, 0.0296508, 0.127246, 0.130654
1.1, -0.380751, -0.592438, -0.409777, -0.717002, 0.0290262, 0.124564, 0.127901
1.15, -0.268898, -0.777164, -0.297254, -0.89885, 0.0283556, 0.121686, 0.124946
1.2, -0.159502, -0.972432, -0.187151, -1.09108, 0.0276486, 0.11865, 0.121829
1.25, -0.0523995, -1.17754, -0.0793118, -1.29303, 0.0269124, 0.11549, 0.118585
1.3, 0.0525632, -1.39184, 0.0264096, -1.50407, 0.0261535, 0.112234, 0.115241
1.32427, 0.102536, -1.5, 0.0769973, -1.60959, 0.0255384, 0.109592, 0.112528
